Interface                      IP-Address      Status                Protocol
TenGigE0/4/0/1                 unassigned      Down                  Down
GigabitEthernet0/4/0/2         unassigned      Down                  Down
GigabitEthernet0/4/0/3         unassigned      Down                  Down
GigabitEthernet0/4/0/4         unassigned      Down                  Down
GigabitEthernet0/4/0/5         unassigned      Down                  Down
GigabitEthernet0/4/0/6         unassigned      Down                  Down
GigabitEthernet0/4/0/7         unassigned      Down                  Down
GigabitEthernet0/4/0/8         unassigned      Down                  Down
GigabitEthernet0/4/0/9         unassigned      Down                  Down
GigabitEthernet0/4/0/10        unassigned      Down                  Down
GigabitEthernet0/4/0/11        unassigned      Down                  Down
GigabitEthernet0/4/0/12        unassigned      Down                  Down
GigabitEthernet0/4/0/13        unassigned      Down                  Down
GigabitEthernet0/4/0/14        unassigned      Down                  Down
GigabitEthernet0/4/0/15        unassigned      Down                  Down
GigabitEthernet0/4/0/16        unassigned      Down                  Down
GigabitEthernet0/4/0/17        unassigned      Down                  Down
GigabitEthernet0/4/0/18        unassigned      Down                  Down
GigabitEthernet0/4/0/19        unassigned      Down                  Down
FortyGigE0/5/0/0               unassigned      Shutdown              Down
FortyGigE0/5/0/1               unassigned      Shutdown              Down
TenGigE0/5/1/0                 unassigned      Shutdown              Down
TenGigE0/5/1/1                 111.1.1.1       Up                    Up
GigabitEthernet0/7/0/0         unassigned      Down                  Down
GigabitEthernet0/7/0/1         unassigned      Down                  Down
GigabitEthernet0/7/0/2         unassigned      Down                  Down
GigabitEthernet0/7/0/3         unassigned      Down                  Down
GigabitEthernet0/7/0/4         unassigned      Down                  Down
GigabitEthernet0/7/0/5         unassigned      Down                  Down
GigabitEthernet0/7/0/6         unassigned      Down                  Down
GigabitEthernet0/7/0/7         unassigned      Down                  Down
GigabitEthernet0/7/0/8         unassigned      Down                  Down
GigabitEthernet0/7/0/9         unassigned      Down                  Down
GigabitEthernet0/7/0/10        unassigned      Down                  Down
GigabitEthernet0/7/0/11        unassigned      Down                  Down
GigabitEthernet0/7/0/12        unassigned      Down                  Down
GigabitEthernet0/7/0/13        unassigned      Down                  Down
GigabitEthernet0/7/0/14        unassigned      Down                  Down
GigabitEthernet0/7/0/15        unassigned      Up                    Up
GigabitEthernet0/7/0/16        unassigned      Down                  Down
GigabitEthernet0/7/0/17        unassigned      Down                  Down
GigabitEthernet0/7/0/18        unassigned      Down                  Down
GigabitEthernet0/7/0/19        unassigned      Down                  Down
GigabitEthernet0/7/0/20        unassigned      Down                  Down
GigabitEthernet0/7/0/21        unassigned      Down                  Down
GigabitEthernet0/7/0/22        unassigned      Down                  Down
GigabitEthernet0/7/0/23        unassigned      Down                  Down
GigabitEthernet0/7/0/24        unassigned      Down                  Down
GigabitEthernet0/7/0/25        unassigned      Down                  Down
GigabitEthernet0/7/0/26        unassigned      Down                  Down
GigabitEthernet0/7/0/27        unassigned      Down                  Down
GigabitEthernet0/7/0/28        unassigned      Down                  Down
GigabitEthernet0/7/0/29        unassigned      Down                  Down
GigabitEthernet0/7/0/30        unassigned      Down                  Down
GigabitEthernet0/7/0/31        unassigned      Down                  Down
GigabitEthernet0/7/0/32        unassigned      Down                  Down
GigabitEthernet0/7/0/33        unassigned      Down                  Down
GigabitEthernet0/7/0/34        unassigned      Down                  Down
GigabitEthernet0/7/0/35        unassigned      Down                  Down
GigabitEthernet0/7/0/36        unassigned      Down                  Down
GigabitEthernet0/7/0/37        unassigned      Down                  Down
GigabitEthernet0/7/0/38        unassigned      Down                  Down
GigabitEthernet0/7/0/39        unassigned      Down                  Down
